ID,LIKE_JP_FOOD,LIKE_CN_FOOD,LIKE_TH_FOOD,LIKE_ES_FOOD,LIKE_HTY_FOOD,LIKE_BF_FOOD,LIKE_SB_FOOD,LIKE_GRL_FOOD,LIKE_BEER,LIKE_FASHION,LIKE_COSMETICS,LIKE_SKINCARE,LIKE_EXERCISE,LIKE_GAMES,LIKE_TRAVEL,LIKE_READING,LIKE_READING_ONLINE,LIKE_E_LEARNING,LIKE_SEREIS,LIKE_MOVIES,LIKE_YOUTUBE,LIKE_NETFLIX,LIKE_ENTERTAINMENT,LIKE_GAME_CONTENT,LIKE_FOOD_REVIEW,LIKE_TRAVEL_CONTENT,LIKE_HOME_DECORATATION,LIKE_TV_CONTENT,LIKE_LAKON,LIKE_POLITIC,CONS_JP_FOOD,CONS_CN_FOOD,CONS_TH_FOOD,CONS_ES_FOOD,CONS_HTY_FOOD,CONS_BF_FOOD,CONS_SB_FOOD,CONS_GR_FOOD,CONS__BEER,CONS_FASHION,CONS_COSMETICS,CONS_SKINCARE,CONS_EXERCISE,CONS_GAMES,CONS_TRAVEL,CONS_READING,CONS_READING_ONLINE,CONS_E_LEARNING,CONS_SERIES,CONS_MOVIES,CONS_YOUTUBE,CONS_NETFLIX,CONS_ENTERTAINMENT,CONS_GAME_CONTENT,CONS_FOOD_REVIEW,CONS_TRAVEL_CONTENT,CONS_HOME_DECORATION,CONS_TV_CONTENT,CONS_LAKON,CONS_POLITIC,GROUP,GROUP DESCRIPTION
13,4,4,3,2,5,6,6,6,5,3,4,5,6,5,6,3,4,4,6,6,6,6,6,5,6,6,6,6,5,4,3,2,5,1,4,3,3,3,4,2,5,5,5,3,3,3,4,3,5,5,5,5,5,5,4,4,4,4,4,4,Y2,GenY - Female
17,5,3,4,5,3,5,5,4,3,6,6,6,3,3,5,6,6,4,6,6,4,5,6,3,5,5,5,3,4,3,2,3,5,3,0,1,2,1,1,4,5,5,0,0,1,4,4,2,3,3,4,3,5,0,4,3,3,1,2,5,Y2,GenY - Female
35,5,2,5,5,4,5,4,4,0,4,4,5,4,3,4,3,3,4,4,4,4,4,4,3,4,4,5,3,3,4,3,1,5,4,4,2,1,1,0,3,3,3,3,2,1,2,2,1,4,4,5,4,3,2,2,2,3,1,1,2,Y2,GenY - Female
40,5,5,5,5,5,6,5,5,0,3,4,4,4,1,5,4,4,4,4,4,6,4,4,0,4,5,3,2,2,0,4,3,5,5,4,3,3,3,0,1,1,1,1,0,2,2,2,2,2,2,5,3,2,2,4,4,1,1,1,1,Y2,GenY - Female
42,4,4,4,4,5,5,5,5,2,5,5,6,3,1,4,5,4,4,3,1,1,3,4,0,3,4,3,1,2,4,1,1,5,3,4,1,1,1,1,3,4,4,2,0,1,3,3,3,3,0,3,3,3,0,2,2,0,0,2,2,Y2,GenY - Female
47,4,4,5,4,3,3,5,4,5,4,3,5,4,5,6,6,5,5,5,6,5,5,5,5,4,5,5,4,4,4,3,3,5,3,2,0,2,2,4,1,1,1,4,5,4,5,5,4,3,3,5,3,3,4,5,5,4,4,4,5,Y2,GenY - Female
51,6,4,6,5,5,4,5,4,3,6,4,5,5,3,6,4,5,5,5,4,4,5,4,3,5,5,4,3,3,3,3,1,5,4,4,1,2,1,1,4,1,1,5,4,3,4,4,4,5,2,4,5,5,2,5,5,4,4,4,4,Y2,GenY - Female
52,6,3,4,5,5,5,4,4,5,3,3,5,3,3,4,4,4,4,5,5,5,5,4,3,4,4,2,3,3,3,5,0,5,4,3,2,1,1,1,2,2,3,2,3,2,4,3,3,4,4,5,4,3,1,2,2,0,1,1,1,Y2,GenY - Female
56,6,4,4,4,3,6,6,4,1,4,4,4,3,6,3,4,3,4,5,5,4,5,3,6,4,4,3,2,3,1,2,1,2,2,0,2,2,2,0,1,1,1,3,5,1,4,3,4,4,2,5,4,4,5,4,4,1,2,4,3,Y2,GenY - Female
58,3,5,3,3,4,3,3,4,4,4,4,5,4,2,4,4,4,4,4,3,3,3,2,1,2,2,2,2,1,2,2,3,5,3,5,2,2,2,5,2,2,3,5,1,2,5,5,2,4,2,2,2,0,0,1,2,2,0,0,2,Y2,GenY - Female
62,6,4,5,5,5,6,6,6,3,4,5,6,3,6,6,4,4,5,6,6,5,6,5,5,6,6,6,4,4,3,3,1,3,4,2,2,2,2,1,1,1,4,0,4,2,2,2,1,4,4,3,4,2,2,2,3,3,0,1,1,Y2,GenY - Female
63,4,3,3,3,5,3,3,3,2,2,1,3,5,5,5,4,2,4,4,4,4,4,2,3,3,3,3,2,1,1,3,2,5,4,5,2,2,2,1,0,0,1,5,4,1,3,1,4,4,2,5,4,2,3,2,2,2,1,1,1,Y2,GenY - Female
